num_topics,c_v
5.0,0.44394068113958
6.0,0.4593416164627055
7.0,0.49281991945385384
8.0,0.49489906343578277
9.0,0.4976656717340247
10.0,0.49375356898338624
11.0,0.5073066996381287
12.0,0.485445731689142
13.0,0.49361077545507176
14.0,0.5155850053459468
15.0,0.5193590332356016
16.0,0.509243446061702
17.0,0.510669461526281
18.0,0.5310646188570911
19.0,0.5148832896301037
20.0,0.4774005099407299
21.0,0.4927400241200466
22.0,0.510974968863101
23.0,0.513044038810437
24.0,0.5149389306032893
25.0,0.5067072717013766
26.0,0.5234503587989013
27.0,0.510501645006523
28.0,0.5104041855061305
29.0,0.51503638643847
30.0,0.5224689500321719
31.0,0.5139442148967674
32.0,0.5078831429788075
33.0,0.48868525553166275
34.0,0.5081012581633229
35.0,0.5178153405954925
36.0,0.5105215166491699
37.0,0.5283218899993022
38.0,0.4931368285907139
39.0,0.5088892930453249
40.0,0.49465670882662993
41.0,0.48522948759198764
42.0,0.510902794074784
43.0,0.47531971174765536
44.0,0.49419532650626974
45.0,0.4890140630307848
46.0,0.48996956419612736
47.0,0.49208537514820405
48.0,0.5076880154757851
49.0,0.48632476333101027
