num_topics,c_v
5.0,0.4259310094704933
6.0,0.4657134413524489
7.0,0.46350438490798196
8.0,0.478297843888631
9.0,0.485342723279775
10.0,0.4994842629626741
11.0,0.49439470646573014
12.0,0.4885225822959744
13.0,0.5182085903315243
14.0,0.5076621792562755
15.0,0.5078129868882832
16.0,0.5176695194491513
17.0,0.5260695476822037
18.0,0.5095004037234697
19.0,0.5204370050376745
20.0,0.5144047248434085
21.0,0.5019853482248009
22.0,0.5148846438826076
23.0,0.5111334835592835
24.0,0.5033295794977065
25.0,0.5001254321448838
26.0,0.5234865779836678
27.0,0.509451234397257
28.0,0.5294133314387814
29.0,0.5019557344814427
30.0,0.5145221423094901
31.0,0.5156306831753851
32.0,0.5149779817753257
33.0,0.5094797141285483
34.0,0.49743565056273115
35.0,0.5066052652386548
36.0,0.49980530467142675
37.0,0.5170903881566401
38.0,0.4945884247824268
39.0,0.5018685154294579
40.0,0.523420321192417
41.0,0.507891085166907
42.0,0.5039694990748691
43.0,0.4940284114709274
44.0,0.510150319290185
45.0,0.4729183278165982
46.0,0.4890038298139231
47.0,0.513494928353775
48.0,0.5021193511379973
49.0,0.49189570887686407
