num_topics,c_v
5.0,0.4611914149106444
6.0,0.5083408763671379
7.0,0.4839970835043702
8.0,0.5039009790801349
9.0,0.5021059127019374
10.0,0.5027770883856207
11.0,0.49516555319349015
12.0,0.4860375248671828
13.0,0.5184118572748335
14.0,0.501803320723611
15.0,0.5137673459523722
16.0,0.5092292029763215
17.0,0.49961579352239815
18.0,0.5122069165208442
19.0,0.5200452887844529
20.0,0.5090425312943527
21.0,0.5037071960712382
22.0,0.5319273998949504
23.0,0.5290672503374949
24.0,0.5173618335619379
25.0,0.5039668317621137
26.0,0.5187401503588077
27.0,0.5275856884430877
28.0,0.5206972521577219
29.0,0.5134993982014664
30.0,0.5048140586571457
31.0,0.5235043008842353
32.0,0.5140008719905697
33.0,0.52535135459491
34.0,0.5107691384129921
35.0,0.5165043676095213
36.0,0.5078979162186535
37.0,0.5049864840270655
38.0,0.5022567987539238
39.0,0.48718904408438035
40.0,0.5028875679825473
41.0,0.4843021924749968
42.0,0.49101061247012306
43.0,0.4962969563306831
44.0,0.5100319231585352
45.0,0.492273591655087
46.0,0.5022534376414757
47.0,0.495336793165883
48.0,0.5068059114144816
49.0,0.48554306708923345
